Title,Authors,Publisher,Citations,Year
Open Letter to the General Assembly of the United Nations,A Einstein,"published in the New York Times of 23, 443",10,1947
Einstein on the atomic bomb,"A Einstein, R Swing","Atlantic 176, 43-45",10,1945
Det Moderne Verdensbillede,"A Einstein, L Infeld",JH Schultz,10,1939
Improvements relating to refrigerating apparatus,"A Einstein, L Szilard",Appl. UK Patent 16,10,1927
EddingtonsTheorie und Hamiltonsches Prinzip,A Einstein,,10,1925
Emil Warburg als Forscher,A Einstein,"Naturwissenschaften 10 (38), 823-826",10,1922
Bemerkung zu E. Gehrckes Notiz,A Einstein,"Deutsche Physikalische Gesellschaft 20, 261",10,1918
Gravitationstheorie,A Einstein,"Schweizerische Naturforschende Gesellschaft 96, 137-138",10,1913
Die spezielle Relativitästhorie,A Einstein,,10,1912
La théorie du rayonnement et les quanta,A Einstein,"Reports and Discussions of the 1st Solvay Conf, 450",10,1911
Zur Theorie der Lichtfortpflanzung in dispergierenden Medien,A Einstein,Albert Einstein: Akademie-Vorträge: Sitzungsberichte der Preußischen …,9,2006
Bemerkung zu der Abhandlung von E. Trefftz:“Das statische Gravitationsfeld zweier Massenpunkte in der Einsteinschen Theorie”,A Einstein,Albert Einstein: Akademie-Vorträge: Sitzungsberichte der Preußischen …,9,2006
Bemerkungen zu unserer Arbeit:„Über die elektromagnetischen Grundgleichungen für bewegte Körper” ︁,"A Einstein, J Laub","Annalen der Physik 333 (2), 445-447",9,2006
The cosmic religious feeling,A Einstein,"Alexandria: The order and beauty of nature. Grand Rapids, MI: Phanes Press …",9,1997
"Am Sonntag küss' ich Dich mündlich: die Liebesbriefe, 1897-1903","A Einstein, M Einstein-Marić, A Hermann",Piper,9,1994
Principios de física teórica,A Einstein,Einstein A. Sobre la teoría de la relatividad y otras aportaciones …,9,1983
Über die Untersuchung des Ätherzustandes im magnetischen Felde,"A Einstein, C Koch",Physik Verlag,9,1971
A. Einstein autobiographical notes,A Einstein,"Albert Einstein, philosopher-scientist 7",9,1970
The Structure of Scientific Thought,A Einstein,"Houghton Mifflin, Boston, 82",9,1960
Emanuel Lasker: Biogr. e. Schachweltmeisters,"J Hannak, A Einstein",Engelhardt,9,1952
Why Do They Hate the Jews?,A Einstein,Collier's,9,1938
The Fight Against War,A Einstein,John Day Company,9,1933
Zu Dr. Berliners siebzigstem Geburtstag,A Einstein,"Naturwissenschaften 20 (51), 913-913",9,1932
Über die Interferenzeigenschaften des durch Kanalstrahlen emittierten Lichtes,A Einstein,"Albert Einstein: Akademie‐Vorträge, 274-281",9,1926
Sulla teoria speciale e generale della relatività,A Einstein,Zanichelli,9,1921
Sulla teoria speciale e generale della relativita:(volgarizzazione),A Einstein,Nicola Zanichelli Editore,9,1921
Eine ableitung des theorems von Jacobi,A Einstein,"Albert Einstein: Akademie‐Vorträge, 131-134",9,1917
Theoretische Atomistik,A Einstein,Die Kultur der Gegenwart. Ihre Entwicklung und ihre Ziele. Paul Hinneberg …,9,1915
"Albert Einstein] to Michele Besso:[A first] letter, 21 Jul 1916",A Einstein,,9,
"Albert Einstein] to Michele Besso: Letter, 9 Mar 1917",A Einstein,,9,
"Albert Einstein] to Michele Besso: Letter, 6 Sep 1916",A Einstein,,9,
"Albert Einstein] to Michele Besso: Letter, 9 Jul 1918",A Einstein,,9,
"Albert Einstein] to Michele Besso:[A second] letter, 21 Jul 1916",A Einstein,,9,
"Albert Einstein] to Michele Besso: Letter, 10 Dec 1915",A Einstein,,9,
"Albert Einstein] to Michele Besso: Letter, 3 Jan 1916",A Einstein,,9,
"Albert Einstein] to Michele Besso: Letter, 11 Aug 1916",A Einstein,,9,
"Albert Einstein] to Michele Besso: Letter, 22 Sep 1917",A Einstein,,9,
"Albert Einstein] to Michele Besso: Letter, 6 Apr 1916",A Einstein,,9,
Lettres d'amour et de science,"A Einstein, M Einstein-Marić",Éd. du Seuil,8,1993
Remarks to the essays appearing in this collected volume,A Einstein,"Albert Einstein: Philosopher-Physicist. New York, Tudor",8,1951
Los fundamentos de la geometría,"E Poincarè, A Einstein, JR Pastor",Ibero Americana,8,1948
On the moral obligation of the scientist,A Einstein,"Bulletin of the Atomic Scientists 1, 34-35",8,1945
From the philosophy of Bertrand Russell,A Einstein,"The Library of Living Philosophers 5, 277-294",8,1944
B. Ho mann and L. Infeld,A Einstein,"Annals of Mathematics 39, 1",8,1938
The nature of reality,"A Einstein, R Tagore","Modern Review (Calcutta) 49, 42-43",8,1931
Special and General relativity,A Einstein,Erres e Esses Lda,8,1920
Inst. intern. phys,A Einstein,"Solway, Rapports et discussions 1, 450",8,1911
Bemerkung zu dem Gesetz von Eötvös,A Einstein,"Annalen der Physik 339 (1), 165-169",8,1911
Berichtigung zu meiner Arbeit:„Die Plancksche Theorie der Strahlung etc.” ︁,A Einstein,"Annalen der Physik 327 (4), 800-800",8,1907
Autobiographical notes (1949),A Einstein,Albert Einstein: Philosopher-Scientist,8,
"Essays in Science (New York: Philosophical Library, 1934)",A Einstein,Out of My Later Years,8,
Elementary Considerations on the Interpretation of the Foundations of Quantum Mechanics,A Einstein,arXiv preprint arXiv:1107.3701,7,2011
Antwort auf eine Bemerkung von J. Stark:„Über eine Anwendung des Planckschen Elementargesetzes…” ︁,A Einstein,"Annalen der Physik 343 (9), 888-888",7,2006
Albert einstein to max born,A Einstein,"Physics Today 58 (8), 16",7,2005
El mundo tal como yo lo veo,A Einstein,Dante,7,1989
Einstein über „wahre Kultur “und die Stellung der Geometrie im Wissenschaftssystem,HM Saß,"Journal for General Philosophy of Science 10 (2), 316-319",7,1979
Elie Cartan-Albert Einstein: lettres sur le parallélisme absolu 1929-1932,"EJ Cartan, A Einstein, J Leroy, J Ritter, R Debever",Palais des Académies,7,1979
"Mein Weltbild, hrsg. v",A Einstein,"C. Seelig, Berlin",7,1977
"Correspondence 1903–1955, ed","A Einstein, M Besso","P. Speziali. Hermann, París",7,1972
Fisica e realtà,"A Einstein, L Infeld","A. Einstein [1965], Pensieri degli anni difficili, Boringhieri, Torino",7,1965
L'Heure H at-elle sonné pour le monde?: effets accumulatifs des explosions nucléaires. Précédé d'un Message de Albert Einstein,"CN Martin, A Einstein",B. Grasset,7,1955
L'heure H at-elle sonné pour le monde?: Effets accumulatifs des explosions nucléaires,CN Martin,Grasset,7,1955
La questione del metodo,A Einstein,"A. Einstein [1954], Come io vedo il mondo, Giachini, Milano, 63-74",7,1954
Why socialism?,A Einstein,Monthly Review,7,1951
New Evidence of the Militarization of America: A Report,"PS Buck, L Bromfield, A Einstein, PS Buck, PS Buck, A Einstein, ...",National council against conscription,7,1949
"Relativity, Thermodynamics and Cosmology.(Scientific Books: Relativity, Thermodynamics and Cosmology)",R Tolman,"Science 80, 358",7,1934
"The Origins of the General Theory of Relativity: Being the First Lecture on the George A. Gibson Foundation in the University of Glasgow, Delivered on June 20th, 1933",A Einstein,"Jackson, Wylie and Company",7,1933
Antwort auf eine Abhandlung M. v. Laues „Ein Satz der Wahrscheinlichkeitsrechnung und seine Anwendung auf die Strahlungstheorie” ︁,A Einstein,"Annalen der Physik 352 (15), 879-885",7,1915
"Antwort auf eine Replik Paul Harzers (Nr. 4753, S. 10 und 11)",A Einstein,"Astronomische Nachrichten 199, 47",7,1914
ON A HEURISTIC VIEWPOINT OF THE CREATION AND MODIFICATION OF LIGHT,A EINSTEIN,"Ann. d. Phys 17, 133-148",7,1905
"Albert Einstein] to Max Born: Letter, 27 Feb 1916",A Einstein,,7,
"Albert Einstein] to Max Born: Letter, after 29 Jun 1918",A Einstein,,7,
"Albert Einstein] to Max Born: Letter, 24 Jun 1918",A Einstein,,7,
"Albert Einstein] to Max Born: Letter, after 3 Jul 1918",A Einstein,,7,
Bemerkung zu Abrahams vorangehender Auseinandersetzung „Nochmals Relativität und Gravitation” ︁,A Einstein,"Annalen der Physik 344 (13), 704-704",6,2006
"Geografia, ecologia da paisagem e teledetecção, enquadramento–contextualização","PC Casimiro, A Einstein","Revista da Faculdade de Letras do Porto, Geografia I Série 19, 467-476",6,2004
Religión y ciencia,A Einstein,"Iglesia Viva, 119-122",6,2000
"The Collected Papers of Albert Einstein, Volume 6: The Berlin Years: Writings, 1914-1917","A Einstein, AJ Kox, MJ Klein, R Schulmann, J Illy, J Eisenstaedt, ...",ISIS-International Review Devoted to the History of Science and its Cultural …,6,1997
Cum văd eu lumea: o antologie,"A Einstein, M Flonta, I Pârvu",Humanitas,6,1992
The Religiousness of Science,A Einstein,"The World As I See It, 29",6,1934
Der gegenwärtige Stand der Relativitätstheorie...,A Einstein,Neue Freie Press,6,1931
Formal Relationship of the Riemannian Curvature Tensor to the Field Equations of Gravity,A Einstein,"Mathematische Annalen 97, 99-103",6,1927
Antwort auf eine Bemerkung von W. Anderson,A Einstein,"Astronomische Nachrichten 221 (20), 329-330",6,1924
La relativit# a speciale,A Einstein,,6,1920
Bemerkung zu der Arbeit von D. Mirimanoff „Über die Grundgleichungen…” ︁,A Einstein,"Annalen der Physik 333 (4), 885-888",6,1909
On Boltzmann's Principle and Some Immediate Consequences Thereof Translation by Bertrand Duplantier and Emily Parks from the original German text into French and English,A Einstein,"PROGRESS IN MATHEMATICAL PHYSICS 47, 183",5,2006
On Boltzmann’s Principle and Some Immediate Consequences Thereof,A Einstein,"Einstein, 1905–2005, 183-199",5,2006
Cien años de relatividad: Los artículos de Albert Einstein de 1905 y 1906,"A Einstein, A Ruiz de Elvira",,5,2004
La teoria della relatività,"A Einstein, CL fratelli Melita",Club del Libro fratelli Melita,5,1987
"Einstein und Ulm: Festakt, Schülerwettbewerb und Ausstellung zum 100. Geburtstag von Albert Einstein","HE Specker, G Dukek","Kommissionsverlag W. Kohlhammer, Stuttgart",5,1979
"Correspondance 1903-1955, publiée par P","A Einstein, M Besso","Speziali, Hermann, Paris",5,1972
Ejnštejnovskaja teorija otnositeľnosti,M Born,Mir,5,1972
A new analysis of molecule dimensions,A Einstein,,5,1968
"Relatività, Boringhieri",A Einstein,Torino,5,1960
Helle Zeit-dunkle Zeit: In memoriam Albert Einstein,C Seelig,Europa Verlag,5,1956
Sur le problème cosmologique: théorie de la gravitation généralisée,A Einstein,Gauthier-Villars,5,1951
La teoría de la relatividad: Al alcance de todos,"A Einstein, FL de Nó, JR Pastor",,5,1925
L'évidence de la théorie de Einstein,"P Drumaux, A Einstein",Librairie Scientifique J. Hermann,5,1923
reprinted 1956. On the theory of Brownian movement,A Einstein,"Investigations on the theory of Brownian movement. Dover Publications, New …",5,1906
"Mein Weltbild, Herausgegeben von Carl Seelig, Neue, vom Verfasser durchgesehene und wesentlich erweiterte Auflage",A Einstein,Ullstein Buch,5,
Theoretical remark on the superconductivity of metals,A Einstein,arXiv preprint physics/0510251,4,2005
Relativiteit: speciale en algemene theorie,"A Einstein, W den Boer",Het Spectrum,4,1986
Geometria ed esperienza1,A Einstein,,4,1957
Builders of the Universe: From the Bible to the Theory of Relativity,A Einstein,"U. S Library association, Incorporated",4,1932
"Pump, especially for refrigerating machine","A Einstein, L Szillard","British Patent Specification, 881",4,1931
Über den gegenwärtigen Stand der allgemeinen Relativitätsteorie,A Einstein,,4,1930
Gelegentliches: Zum fünfzigsten Geburtstag 14. März 1929 dargebracht von der Soncino-Gesellschaft der Freunde des Jüdischen Buches zu Berlin,A Einstein,Soncino-Gesellschaft der Freunde des Jüdischen Buches zu Berlin,4,1929
Gelegentliches von Albert Einstein,A Einstein,Aldus druck,4,1929
The establishment of an international bureau of meteorology,"M Curie, HA Lorentz, A Einstein","Science 65, 415-417",4,1927
Zum hundertjährigen Gedenktag von Lord Kelvins Geburt. 26. Juni 1824,A Einstein,"Naturwissenschaften 12 (30), 601-602",4,1924
Besprechungen,"A Einstein, M Born, A Kopff","Naturwissenschaften 10 (8), 184-186",4,1922
Besprechungen,"A Einstein, A Coehn, J Koppel, L Asher","Naturwissenschaften 6 (25), 373-376",4,1918
Besprechungen,"A Einstein, O Knopf","Naturwissenschaften 2 (48), 1018-1019",4,1914
Bemerkung zu meiner Arbeit:„Eine Beziehung zwischen dem elastischen Verhalten…” ︁,A Einstein,"Annalen der Physik 339 (3), 590-590",3,2006
Pourquoi le socialisme?,A Einstein,"La Pensée, 113-117",3,1993
"Le pouvoir nu: propos sur la guerre et la paix, 1914-1955",A Einstein,Hermann,3,1991
Comments on the Work of Friedmann,A Einstein,"Cosmological Constants 1, 66",3,1986
"Albert Einstein, il lato humano","A Einstein, H Dukas, B Hoffmann",Einaudi,3,1980
On Newton (1927),A Einstein,"The Wilson Quarterly (1976-) 3 (1), 114-120",3,1979
Science and synthesis,R Maheu,,3,1971
Letter on the creative process,A Einstein,"The proper study of man: perspectives on the social sciences, 166",3,1971
My Attitude to Quantum Theory,A Einstein,,3,1950
Vincenzo Bellini,"A Einstein, AHFS","Music & Letters, 325-332",3,1935
Bemerkung zu der Notiz von W. Anderson» Eine neue Erklärung des kontinuierlichen Koronaspektrums «,A Einstein,"Astronomische Nachrichten, volume 219, p. 19 219, 19",3,1923
CULTURE MUST BE ONE OF THE FOUNDATIONS FOR WORLD UNDERSTANDING'.,A Einstein,"UNESCO Courier 49 (6), 50",2,1996
Selected passages on Machian ideas,A Einstein,Mach’s Principle. From Newton’s Bucket to Quantum Gravity (Einstein Studies …,2,1995
"Correspondance:"" Pourquoi la guerre?""","S Freud, A Einstein","Hermès (Paris. 1988), 1989, N° 5-6, fascicule thématique"" Individus et …",2,1989
Die Quantentheorie der spezifischen Wärme,"A Einstein, P Debye, M Born, T von Kármán",Stuttgart,2,1967
Compton Effect,"AH Compton, A Einstein, M Planck","The World of the Atom, Volume 1. Edited with commentaries by Henry A. Boorse …",2,1966
Fizika i realʹnostʹ: sbornik stateĭ,"A Einstein, BG Kuznet︠s︡ov, UI Frankfurt",Nauka,2,1965
Filosofia e relatività,A Einstein,Palumbo,2,1965
Physical meaning of geometrical propositions,A Einstein,"Relativity: The Special and General Theory. New York: Crown Publishers Inc, 1-4",2,1961
Política y pacifismo,A Einstein,Siglo Veinte,2,1960
Mossbauer Effect,"R Mossbauer, A Einstein, RV Pound, GA Rebka",Z. Physik,2,1958
Expectations of a definite form,"A Einstein, PA Schilpp","Physics Today 3, 6",2,1950
The Arabs and Palestine,"A Einstein, E Kahler",Christian Council on Palestine and American Palestine Committee,2,1944
ADDRESS BEFORE STUDENT BODY CALIFORNIA INSTITUTE OF TECHNOLOGY,A Einstein,"Sigma Xi Quarterly, 128-128",2,1938
Oorlog als ziekte. Met een voorw. van Albert Einstein. Naar de Nederlandse vertaling bewerkt door C. van Emde Boas,"E Flusser, A Einstein, C van Emde Boas",Contact,2,1938
Oorlog als ziekte,E Flusser,Contact,2,1938
Memorial to Dr. David Eder,"A Einstein, S Freud, PJ Hartog, E Jones, JL Magnus, RN Salaman, ...","British Medical Journal 2 (3955), 846-846",2,1936
Les fondements de la théorie de la relativité générale. Théorie unitaire de la gravitation et de l'electricité. Sur la structure cosmologique de l'espace.,A Einstein,"The Journal of Physical Chemistry 38 (2), 245-245",2,1934
"Riemann-Metrik mit Aufrechterhaltung des Begriffes der Fern-parallelismus, Preuss",A Einstein,"Akad. Wiss. Sitzungsber. Phys.-Math. KI, 1-7",2,1928
Die spezielle relativitätstheorie Einsteins und die logik,JH Tummers,Selbstverlag,2,1924
La teoría de la relatividad especial y general al alcance de todos,"A Einstein, FL de No",Talleres Tipograficos de Amancio Ruiz de Lara,2,1923
"Zu Max Plancks sechzegstem Geburtstag: Ansprachen, gehalten am 26. April 1918 in der Deutschen Physikalischen Gesellschaft",EG Warburg,CF Müller,2,1918
"SB preuss. Akad. Wiss.(1915), 778",A Einstein,"Ann. der Phys 49, 769",2,1916
"Albert Einstein] to Moritz Schlick: Letter, 14 Dec 1915",A Einstein,,2,
"Albert Einstein] to Moritz Schlick: Letter, 6 Feb 1917",A Einstein,,2,
"Albert Einstein] to Moritz Schlick: Letter, 21 May 1917",A Einstein,,2,
Gedächtnisrede auf Karl Schwarzschild,A Einstein,Albert Einstein: Akademie-Vorträge: Sitzungsberichte der Preußischen …,1,2006
"Physikalische Gesellschaft zu Berlin und Deutsche Gesellschaft für technische Physik. Berlin, 17. Juli 1931",A Einstein,"Angewandte Chemie 44 (33), 685-685",1,2006
"Physikalische Gesellschaft zu Berlin. Berlin, 12. Juni 1931",R Ladenburg,"Angewandte Chemie 44 (29), 611-612",1,2006
"The collected papers of Albert Einstein. Vol 6, The Berlin years: writings, 1914-1917:[English translation]","A Einstein, J Stachel",Princeton University Press,1,2002
The collected papers of Albert Einstein. Vol. 3: The Swiss years: Writings 1909-1911; Vol. 5: The Swiss years: Correspondence 1902-1914,A Einstein,"The Collected Papers of Albert Einstein, Volume 5: The Swiss Years …",1,1993
Statistische Mechanik,"A Einstein, W Dällenbach",Institut für theoretische Physik der Universität,1,1979
My Views,A Einstein,Rupa,1,1967
Zur Abwehr,A Einstein,"Naturwissenschaften 9 (13), 219-219",1,1921
La educación y la Atención Primaria de la salud en la Complejidad Social,"PF Corvalán, F Chazarreta, PL Arango, A Villa, A Einstein",,1,
The Einstein Theory of Relativity: A Concise Statement by Prof. HA Lorentz,"A Einstein, HA Lorentz",MobileReference,0,2009
O conhecimento científico no nosso contexto social e histórico: um ano de realizações,A Einstein,"Revista da AMRIGS 52 (4), 247-248",0,2008
Einstein's Zurich Notebook: Transcription and Facsimile,A Einstein,"The Genesis of General Relativity 1, 313",0,2007
On the relativity problem,A Einstein,"The Genesis of General Relativity, 1528-1536",0,2007
Antrittsrede und Erwiderung von Max Planck am Leibniztag,"A Einstein, M Planck",Albert Einstein: Akademie-Vorträge: Sitzungsberichte der Preußischen …,0,2006
PERSONAY SOCIEDAD: PERSPECTIVAS PARA EL SIGLO XXI,A Einstein,"Cauriensia Vol. I 1, 277-282",0,2006
Non-euclidean geometry and physics (1926),A Einstein,"Scientiae Studia 3 (4), 677-681",0,2005
Albert Einstein to Heinrich Zangger,A Einstein,"Physics Today 58, 18",0,2005
On the quantitative theory of radiation,A Einstein,"Revista Brasileira de Ensino de Fisica 27 (1), 93-99",0,2005
Einstein und die Geophysik:(Einstein and geophysics),"A Einstein, W Schrèoder, HJ Treder",Arbeitskreis Geschichte der Geophysik und Kosmische Physik,0,2005
The collecteds of albert einstein v 9 the berlin years correspondence january 1919-april 1920 english translation (paperback),A EINSTEIN,,0,2004
The collecteds of albert einstein v 9 the berlin years correspondence january 1919 april 1920 (hardback),A EINSTEIN,,0,2004
"Géometrie complexe, Tome 2: aspects contemporains dans les mathématiques et la physique","F NORGUET, S OFMAN",,0,2004
Why lnformation Technology lnspired but Cannot Deliver Knowledge Management,A Einstein,The Human Side of Managing Technological Innovation: A Collection of …,0,2004
LA GUERRE ILLEGALE CONTRE L'IRAK,A EINSTEIN,Le nouvel empire américain: causes et conséquences pour les États-Unis et …,0,2004
So You Want to,A Einstein,Leading Six Sigma: a step-by-step guide based on experience with GE and …,0,2003
"Discussion following lecture,"" On the Present State of the Problem of Specific Heats""(Doc. 26), 3 Nov 1911",A Einstein,,0,2003
"Vom Relativitäts-Prinzip, 26 Apr 1914",A Einstein,,0,2003
Friedrich Wilhelm Foerster und Albert Einstein: Briefwechsel von 1935 bis 1954,"FW Foerster, A Einstein, P Max",Ibidem-Verlag,0,2001
La teoria de la relativitat i altres textos,A Einstein,Institut d'Estudis Catalans,0,2000
Einstein on science,A Einstein,"BMJ 320 (7226), 24",0,2000
"Theorien verborgener Parameter, EPR-Korrelationen, Bell’sche Ungleichung, GHZ-Zust ande","Z wird dieses beruhmte Zitat, A Einstein",,0,1999
VORLESUNGEN UBER SPEZIELLE RELATIVITATSTHEORIE,A EINSTEIN,"Nuncius 14 (2), 650-661",0,1999
"The Collected Papers of Albert Einstein, Vol. 6 The Berlin Years 1914-1917","A Einstein, B Seidel","Endeavour-Paper Edition 22 (2), 82",0,1998
"Matter, Fields of Information, and Incompleteness",A Einstein,"Science, Theology, and Consciousness: The Search for Unity, 95",0,1998
Science: Conjectures and Refutations,"A Einstein, A Trollope","Scientific knowledge: basic issues in the philosophy of science, 176",0,1997
Does Nature Violate Local Realism?,A Einstein,"Sigma, 161",0,1997
L'électron et la théorie de la relativité générale,A EINSTEIN,"Annales de la Fondation Louis de Broglie 22 (1), 23-27",0,1997
As it was: the UNESCO Courier December 1951,A Einstein,"UNESCO Courier-English Edition 49 (6), 50",0,1996
Gefaehrliche Freundschaft: Konsens in schwieriger Zeit,"M Planck, A Einstein","BILD DER WISSENSCHAFT, 42-45",0,1996
Der Einsteinturm in Potsdam: Architektur und Astrophysik,"A Einstein, E Freundlich, E Mendelsohn",Ars Nicolai,0,1995
"Relativites restreinte et generale Relativite generale, cosmologie et theories unitaires","A Einstein, A Einstein, P Cartier","Pour la Science, 110",0,1994
UNCERTAINTIES AND HOPES,A Einstein,"Global Ecology: Environmental Change and Social Flexibility, 201",0,1993
The Rise and Fall of the Great Ether,A Einstein,"Through a universe darkly: a cosmic tale of ancient ethers, dark matter, and …",0,1993
Nachtrag zu meiner Arbeit:Thermodynamische Begruendung des photochemischen Aequivalentgesetzes'(from Annalen der Physik 1912),A Einstein,"SPIE MILESTONE SERIES MS 65, 37-37",0,1993
Correspondence between Barrie Stavis and Albert Einstein,"B Stavis, A Einstein",Cardozo Studies in Law and Literature,0,1990
A memorial to PAM Dirac,A Einstein,Paul Adrien Maurice Dirac: Reminiscences about a Great Physicist,0,1990
Physiology and Pathophysiology of the Heart,"S Zoneraich, A Einstein","JAMA: The Journal of the American Medical Association 263 (4), 590-591",0,1990
VICTOR J. STENGER,A Einstein,"The Skeptical inquirer 15, 51",0,1990
"The Collected Papers of Albert Einstein, Vol. 2, The Swiss Years: Writings, 1900–1909 (English Translation Supplement)",A Einstein,"Princeton University Press, Princeton. Translated by A. Beck",0,1989
Waarom oorlog?,"A Einstein, S Freud, G Bussink, I Asimov",BZZT^ oH,0,1986
II. A. On The Inevitability and Prevention Of Nuclear War/Or. Martin E. Hellman The unleashed power of the atom has changed everything save our modes of thinking and we thus …,A Einstein,"The Nuclear time bomb, 38",0,1986
Letter to a friend of peace,A Einstein,Möbius: A Journal for Continuing Education Professionals in Health Sciences …,0,1984
OPERATIONALISM AND FUNDAMENTAL MODELS OF PHYSICS,"ZW Chylinski, A Einstein","Philosophy in science 1, 149",0,1983
BERNARD ROTH 22 The Impact of the Arms Race,A Einstein,The Optimum utilization of knowledge: making knowledge serve human …,0,1983
"Proceedings of the Second Marcel Grossmann Meeting on General Relativity: Organized and Held at the Internat. Centre for Theoret. Physics, Trieste, 5-11 July, 1979: Held in …","Marcel Grossmann Meeting on General Relativity (2, 1979, Trieste), ...",North-Holland Publishing Company,0,1982
Einstein: đời song và tƯởng,"H Lê Nguyễn, A Einstein",Trăm Việt,0,1982
Problemy fiziki: klassika i sovremennostʹ,"A Einstein, HJ Treder",Mir,0,1982
The Einstein Centennial,A Einstein,College of Staten Island,0,1982
SCIENCE ET PHILOSOPHIE: EINSTEIN ET SPINOZA M.-A. TONNELAT,A Einstein,Bulletin de la Société mathématique de Belgique 33 (1),0,1981
The Impact of modern scientific ideas on society: in commemoration of Einstein,"A Einstein, CM Kinnon, AN Kholodilin, JG Richardson",D Reidel Pub Co,0,1981
Science Fiction and Fantasy,A Einstein,"Books and the teenage reader: a guide for teachers, librarians, and parents, 253",0,1980
On the Quantization Condition of Sommerfeld and Epstein,"A Einstein, C Jaffe","JOINT INST. LAB. ASTROPHYSICS. REPORT NO. 116, 1980 1, 1",0,1980
Algunas consideraciones sobre el tiempo y la teoría especial de la relatividad,"A Einstein, N York","Ciencia, Pensamiento y Cultura, 61",0,1979
VI. GRAVITATIONAL WAVES,"A EINSTEIN, N ROSEN","Albert Einstein's theory of general relativity, 230",0,1979
Selected works of Einstein with historical commentaries,"A Einstein, X Liangyin, Z Zhongli",Chinese Academy of Science,0,1979
"Albert Einstein, o lado humano: rápidas visões colhidas em seus arquivos","A Einstein, H Dukas, B Hoffmann",Editora Universidade de Brasília,0,1979
APPLICATION OF STOCHASTIC DIFFERENTIAL EQUATIONS TO THE DESCRIPTION CF TURBULENT DIFFUSION,"A Einstein, AD Fokker, U Planck",International Symposium on Stochastic Differential Equations: August 28 …,0,1978
On German Literature for Viola Da Gamba in the 16th and 17th Centuries,A Einstein,,0,1977
Zitate Aus Mein Weltbild: Sieben Radierungen Von Terry Haass,"A Einstein, T Haass",Selbstverlag [T. Haass],0,1975
The Principles of humanism,"E Relgis, A Einstein, U Sinclair",friends of Eugen Relgis,0,1974
Determinism in Classical and Quantal Physics by JM Jauch,A Einstein,"Dialectica: International Review of Philosophy of Knowledge 27 (1), 13",0,1973
Die Einstein-Dokumente im Archiv der Humboldt-Universität zu Berlin,"F Herneck, A Einstein",,0,1973
Newton: the man,"R De Villamil, A Einstein",Johnson Reprint Corporation,0,1972
"Considerations on electrodynamics, the ether, geometry and relativity",A Einstein,"Gauthier-Villars, Paris, France",0,1972
Briefe Albert Einsteins an Joseph Petzoldt,"A Einstein, J Petzoldt",,0,1971
Die Einstein-Sammlung der ETH-Bibliothek in Zürich: ein Ueberblick für Benützer der Handschriften-Abteilung,A Einstein,"Schriftenreihe der Bibliothek, Eidgenössische Technische Hochschule Zürich 13",0,1970
Einstein's Generalized Theory of Gravitation,"R Tivārī, A Einstein",Banaras Hindu University,0,1969
Einstein und Smoluchowski: Zur Geschichte der Brownschen Bewegung und der Opaleszenz,"A Teske, A Einstein","Sudhoffs Archiv 53 (3), 292-305",0,1969
Otto Stern Papers,"O Stern, A Einstein, N Bohr",,0,1968
Robert Nathan,A Einstein,"A stress analysis of a strapless evening gown, and other essays for a …",0,1967
Science and Synthesis: An International Colloquium,"A Einstein, PT de Chardin",Springer,0,1967
"Einstein, the Man and His Achievement: A Series of Broadcast Talks","A Einstein, GJ Whitrow",,0,1967
"The collected papers of Albert Einstein: writings, 1912-1914. The Swiss years",A Einstein,Princeton University Press,0,1966
Lehrsätze über das Weltall: Mit Beweis in Form eines offenen Briefes an Professor Einstein. In einer von Gerhard Rühm bearbeiteten Neuauflage,"G Rühm, A Einstein",V. Magdalinski,0,1965
"Briefe zur Wellenmechanik [von][Erwin] Schrödinger,[Max] Planck,[ALbert] Einstein und [Hendrik Antoon] Lorentz","M Planck, K Przibram, E Schrödinger, A Einstein, HA Lorentz",Springer,0,1963
"Briefe zur Wellenmechanik: Schrödinger, Planck, Einstein, Lorentz; mit 4 Portr","HA Lorentz, E Schrödinger, M Planck, A Einstein",Springer,0,1963
"Briefe zur Wellenmechanik: Schrödinger, Planck, Einstein, Lorentz","K Przibram, E Schrödinger, M Planck, A Einstein, HA Lorentz, ...",Springer,0,1963
Z Einsteinovy Pražské korespondence,"A Einstein, M Smoluchowski, R von Smolan",,0,1962
Butsurigaku wa ikani tsukuraretaka,"A Einstein, L Infeld",Iwanami Shoten,0,1962
"Signification de la relativité: appendice à la cinquième édition de"" The meaning of relativity""(décembre 1954). Compléments",A Einstein,Gauthier-Villars,0,1960
Einstein's Collected Writings,"A Einstein, N Boni",Readex Microprint,0,1960
Buchbesprechungen über: Grundzüge der Relativitätstheorie,A Einstein,"Zeitschrift fur Astrophysik 43, 310",0,1957
Albert Ajnštajn: njegova dela i njihov uticaj na naš svet,"L Infeld, A Einstein, B Lalović",Nolit,0,1957
A minor sidelight on a great man,"PS Jones, A Einstein","The Mathematics Teacher, 471-472",0,1956
Human Folly: To Disarm Or Perish?,"J Moch, A Einstein",Gollancz,0,1955
Sushchnostʹ teorii otnositelʹnosti: Perevod s angliĭskogo,A Einstein,Izd-vo inostrannoĭ lit-ry,0,1955
Dr. Einstein to Dean Muelder,"A Einstein, WG Muelder",Boston University,0,1955
