Title,Authors,Publisher,Citations,Year
"Relativity Principle and its Consequences in Modern Physics. Collection of Scientific Works, V. 1",A Einstein,"Nauka, Moscow",193,1965
Remarks on Bertrand Russell's theory of knowledge,A Einstein,Library of Living Philos.,193,1946
La teoría de la relatividad: Sus orígenes e impacto sobre el pensamiento moderno,A Einstein,Alianza,191,1983
Cosmic religion: with other opinions and aphorisms,A Einstein,Covici-Friede,190,1931
Science and religion,A Einstein,"Conference on Science, Philosophy and Religion Their Relation to The …",180,1940
"On the motion, required by the molecular-kinetic theory of heat, of particles suspended in a fluid at rest",A Einstein,"Ann. Phys 17, 549-560",180,1905
Lettres a Maurice Solovine: reprod. en facsimilé et trad. en française: avec une introduction et trois photographies,"A Einstein, M Solovine, A Einstein, A Einstein, G Physicist, A Einstein",Gauthier-Villars,172,1956
Mis ideas y opiniones,A Einstein,Antoni Bosch editor,170,2011
Las teorías de la relatividad,A Einstein,Bruno del Amo,168,1922
Correspondance avec Michele Besso,A Einstein,"Hermann, Paris",165,1979
"Correspondance 1903-1955: Albert Einstein, Michele Besso",A Einstein,,165,1979
Letters on wave mechanics,"K Przibram, E Schrödinger, A Einstein, HA Lorentz, M Planck",Vision,164,1967
Religion and Science: Irreconcilable?,A Einstein,Ideas and Opinions,164,1948
"Teorıa cuántica de gases ideales monoatómicos, Sitz",A Einstein,"Ber. Press. Akad. Wiss.(Berlin) 22, 261",164,1924
Das Prinzip von der Erhaltung der Schwerpunktsbewegung und die Trägheit der Energie,A Einstein,"Annalen der Physik 325 (8), 627-633",164,1906
On the non-existence of regular stationary solutions of relativistic field equations,"A Einstein, W Pauli","The Annals of Mathematics 44 (2), 131-137",163,1943
Über die elektromagnetischen Grundgleichungen für bewegte Körper,"A Einstein, J Laub","Annalen der Physik 331 (8), 532-540",163,1908
La física: aventura del pensamiento,"A Einstein, L Infeld",editorial Losada,160,1939
L'évolution des idées en physique,"A Einstein, L Infeld",Petite Bibliothèteque Payot,159,1963
L'évolution des idées en physique: des premiers concepts aux théories de la relativité et des quanta,"A Einstein, L Infeld, Igor, M Solovine, G Bogdanoff",France Loisirs,159,1948
Corrections and additional remarks to our paper: The influence of the expansion of space on the gravitation fields surrounding the individual stars,"A Einstein, EG Straus","Reviews of Modern Physics 18 (1), 148",158,1946
"Albert Einstein, Michele Besso, correspondence, 1903-1955","A Einstein, MA Besso",Hermann,157,1972
Letters on absolute parallelism,"E Cartan, A Einstein, R Debever",Princeton University Press,155,1979
El significado de la relatividad,"A Einstein, CE Prélat, AA Gómez",Espasa-Calpe,155,1971
O significado da relatividade: com a teoria relativista do campo não simétrico,"A Einstein, M Silva",Gradiva,155,1958
Religion and science,A Einstein,"New York Times Magazine 9, 1-4",152,1930
